Date,Clicks,Impressions,CTR,Position
2026-07-15,0,0,,
2026-07-16,0,0,,
2026-07-17,0,0,,
2026-07-18,0,0,,
2026-07-19,0,0,,
2026-07-20,0,5,0.00%,7.80
2026-07-21,0,3,0.00%,33.70
2026-07-22,0,1,0.00%,4.00
2026-07-23,0,1,0.00%,4.00
2026-07-24,0,2,0.00%,5.50
2026-07-25,0,0,,
2026-07-26,0,0,,
2026-07-27,1,3,33.33%,5.30
2026-07-28,0,1,0.00%,3.00
2026-07-29,1,2,50.00%,2.00
2026-07-30,1,9,11.11%,57.60
2026-07-31,0,3,0.00%,75.00
2026-08-01,0,3,0.00%,86.30
2026-08-02,0,2,0.00%,98.50
2026-08-03,1,5,20.00%,80.20
2026-08-04,0,8,0.00%,84.80
2026-08-05,1,14,7.14%,51.70
2026-08-06,0,9,0.00%,68.30
2026-08-07,0,8,0.00%,59.90
2026-08-08,0,9,0.00%,68.30
2026-08-09,0,6,0.00%,87.30
2026-08-10,0,6,0.00%,47.70
2026-08-11,0,9,0.00%,26.30
2026-08-12,0,4,0.00%,66.80
2026-08-13,0,6,0.00%,63.70
2026-08-14,5,13,38.46%,33.10
2026-08-15,0,5,0.00%,78.40
2026-08-16,0,6,0.00%,62.50
